കവിതകൾ/ പാട്ടുകൾ,വൃത്തം,Poet,Line
വെള്ളവിൽ ശർക്കര കദളിപ്പഴം ,,Vadakkanpaattu,15
അയ്യോ ചതിച്ചെടാ പെരും കൊല്ലാ നീ ,,Vadakkanpaattu,16
എന്നെ ചതിപ്പാൻ വിധി പോരല്ലോ ,,Vadakkanpaattu,17
കുത്തുവിളക്കിന്റെ തണ്ടെടുത്തു ,,Vadakkanpaattu,18
കച്ചത്തെറുപ്പിലും നീട്ടി ചന്തു ,,Vadakkanpaattu,19
നില്ക്കെടാ നില്ക്കെടാ പാഞ്ചെറുക്കാ,,Vadakkanpaattu,20
എവിടന്നു വരുന്നെടാ പാണാ നീയ്യ് ,,Vadakkanpaattu,21
പാട്ടൊന്നു പാടടാ പാണഞ്ചെക്കാ,,Vadakkanpaattu,22
പാട്ടൊന്നുമറിയില്ല പൊന്നമ്പ്രാനേ ,,Vadakkanpaattu,23
എന്തെങ്കിലും പാടടാ പാണഞ്ചെക്കാ,,Vadakkanpaattu,24
എന്തോന്നു പാടാനാ കൊച്ചമ്പ്രാനേ ,,Vadakkanpaattu,25
സാധുധനികവിഭാഗമില്ല,,Sahodaran Ayyappan,1
മൂലധനത്തിന് ഞെരുക്കമില്ല,,Sahodaran Ayyappan,2
വിദ്യപഠിക്കാന് വഴിയേവര്ക്കും,,Sahodaran Ayyappan,3
സിദ്ധിച്ചു മാബലി വാഴും കാലം,,Sahodaran Ayyappan,4
സാധുജനത്തിൻവിയർപ്പുഞെക്കി-,,Sahodaran Ayyappan,5
നക്കിക്കുടിച്ചു മടിയർവീർത്തു,,Sahodaran Ayyappan,6
ഇക്കാണും ലോകങ്ങളീശ്വരന്റെ,Maveli/Kummi,K P Karuppan,1
മക്കളാണെല്ലാമൊരുജാതി,Maveli/Kummi,K P Karuppan ,2
നീക്കിനിറുത്താമോ സമസൃഷ്ടിയെ? ദൈവം,Maveli/Kummi,K P Karuppan ,3
നോക്കിയിരിപ്പില്ലേ? യോഗപ്പെണ്ണേ!-തീണ്ടൽ,Maveli/Kummi,K P Karuppan ,4
ധിക്കാരമല്ലയോ ജ്ഞാനപ്പെണ്ണേ!,Maveli/Kummi,K P Karuppan ,5
കാളിയരയത്തി പെറ്റതല്ലേ,Maveli/Kummi,K P Karuppan ,1
കേളിയേറും വ്യാസ മാമുനിയെ?,Maveli/Kummi,K P Karuppan ,2
നാളീകനേത്രയെ ശന്തനു രാജാവും,Maveli/Kummi,K P Karuppan ,3
വേളികഴിച്ചില്ലെ യോഗപ്പെണ്ണേ !- അത്ര,Maveli/Kummi,K P Karuppan ,4
കോളാക്കിയോ തീണ്ടൽ? ജ്ഞാനപ്പെണ്ണേ!,Maveli/Kummi,K P Karuppan ,5
മുറ്റത്തെ മുല്ലകളൊക്കെപ്പൂത്തു ,Kummi,Changhamuzha ,1
കറ്റക്കിടാവിന്റെ കൺ കുളിർത്തു ,Kummi,Changhamuzha ,2
ആയവനാശിച്ചിട്ടില്ലെന്നിരിക്കു കി-,Kummi,Changhamuzha ,3
ലാഗമിച്ചീടുമോ പുഷ്പ്പകാലം - അവൻ,Kummi,Changhamuzha ,4
സ്വാഗതമോതുമോ  സാനുകൂലം ,Kummi,Changhamuzha ,5
പൂക്കൾ നിരക്കുന്ന കാലമായി ,Kummi,P. Kunjiraman Nair ,1
പൂമ്പാറ്റക്കെന്തിത്ര താമസമായ്,Kummi,P. Kunjiraman Nair ,2
പുള്ളിയുടുപ്പുകളിട്ടുടൻ തോട്ടത്തിൽ ,Kummi,P. Kunjiraman Nair ,3
പൂമ്പൊടിയുണ്ണുവാൻ വന്നീടേണം -വേഗം,Kummi,P. Kunjiraman Nair ,4
പൂമ്പൊടിയുണ്ണുവാൻ വന്നീടേണം,Kummi,P. Kunjiraman Nair ,5
വാരിജലോചനൻ നാരായണൻ ,Kummi,Traditional ,1
നാരിയായ് വന്നൊരു രൂപം പോലെ ,Kummi,Traditional ,2
സാരസ്യമോടെ വിഷാദത്തമാർന്നിടും ,Kummi,Traditional ,3
നാരായണി പോയി കുമ്മിയാട് - വേഗം,Kummi,Traditional ,4
നാരായണി പോയി കുമ്മിയാട്,Kummi,Traditional ,5
ശ്രീകൃഷ്‌ണൻ പണ്ടങ്ങു രുഗ്മിണിയെ ,Kummi,Traditional ,1
മന്നവ വീരന്മാർ കാൺകെത്തന്നെ ,Kummi,Traditional ,2
മുഷ്‌ക്കോടെ തേരേറ്റിക്കൊണ്ടും പോയി ,Kummi,Traditional ,3
ദ്വാരകതന്നിലകത്തു പൂക്കൂ ,Kummi,Traditional ,4
വേളി കഴിച്ചു സുഖിച്ചിരുന്നു ,Kummi,Traditional ,5
ഞാനുമവ്വണ്ണം സുഖിച്ചിരിപ്പാൻ ,Kummi,Traditional ,6
ഞാനിതാ ശ്രീപാദം കൈതൊഴുന്നേൻ,Kummi,Traditional ,7
മുട്ടോളം വെള്ളത്തിൽ മുങ്ങും പെണ്ണ്,Kummi,Traditional ,1
മുന്നാഴി മുല്ലപ്പൂ ചൂടും പെണ്ണ് ,Kummi,Traditional ,2
നെറ്റിയിൽ ചന്ദനം ചാർത്തും പെണ്ണ് ,Kummi,Traditional ,3
പട്ടാട ഭംഗിയിൽ ചാർത്തും പെണ്ണ്  ,Kummi,Traditional ,4
കാലാരി തന്റെ തിരുനാളിന്,Kummi,Traditional ,1
ഉണ്ണാതെ നോറ്റങ്ങുറക്കൊഴിവാൻ,Kummi,Traditional ,2
പാലും നിലാവത്തുറക്കൊഴിവാൻ ,Kummi,Traditional ,3
പാലോലും വാണിമാരെല്ലാ പേരും,Kummi,Traditional ,4
അംഗനമാർകുല മൗലിമണേ,Kummi,Traditional ,1
മംഗലമായൊരു ഗീതം പാടി ,Kummi,Traditional ,2
തുംഗ കുചങ്ങൾ കുലുങ്ങവേ വന്നിഹ ,Kummi,Traditional ,3
ഭംഗിയിൽ കുമ്മിയടിച്ചീടുക (വന്നു ,Kummi,Traditional ,4
ഭംഗിയിൽ കുമ്മിയടിച്ചീടുക),Kummi,Traditional ,5
ചങ്ങാതി മാരിവരെല്ലാവരും,Kummi,Traditional ,1
ഭംഗിയിൽ കുമ്മിയടിക്കുന്നേരം ,Kummi,Traditional ,2
ഇങ്ങനെ നിൽക്കുന്നതെന്തു മനോഹരി ,Kummi,Traditional ,3
ഭംഗിയിൽ വന്നിങ്ങു കുമ്മിയടി(നല്ല ,Kummi,Traditional ,4
ഭംഗിയിൽ വന്നിങ്ങു കുമ്മിയടി),Kummi,Traditional ,5
ഉണ്ണിയാം കൃഷ്ണൻ പണ്ടമ്പാടിയിൽ,Kummi,Traditional ,1
ഉണ്ണിക്കിടാങ്ങളുമായ്ക്കലർന്നു,Kummi,Traditional ,2
മണ്ണിൽക്കളിക്കുന്ന നേരത്തിങ്കൽ ,Kummi,Traditional ,3
മണ്ണുതിന്നിക്കണ്ണ നെന്നോരുണ്ണി (ഇതാ     ,Kummi,Traditional ,4
മണ്ണുതിന്നിക്കണ്ണ നെന്നോരുണ്ണി),Kummi,Traditional ,5
ഇത്തരം ചൊല്ലി ഗ്ഗുരുവായൂരപ്പനെ,Kummi,Traditional ,1
ച്ചിത്തത്തിലോർത്തു പറന്നു തത്ത ,Kummi,Traditional ,2
ഉത്തമം പാട്ടിതു പാടിയാ പെണ്ണുങ്ങൾ ,Kummi,Traditional ,3
പത്തനം തോറും സുഖിച്ചു വാണാർ (നല്ല ,Kummi,Traditional ,4
പത്തനം തോറും സുഖിച്ചു വാണാർ),Kummi,Traditional ,5
ഇന്നിക്കഥകൾ പഠിക്കുന്നോർക്കു ,Kummi,Traditional ,1
മണ്ണിലും വിണ്ണിലും സൗഖ്യമുണ്ടാം ,Kummi,Traditional ,2
പാടിക്കളിച്ചീടിൽ കോടക്കാർവർണ്ണനും ,Kummi,Traditional ,3
കൂടെക്കളിച്ചഴൽ തീർത്തീടും പോൽ ,Kummi,Traditional ,4
പേടിപ്പിച്ചോടിക്കാൻ നോക്കി പൂതം ,Kummi,Idasseri ,1
പേടിക്കാതെങ്ങനെ നിന്നാളമ്മ ,Kummi,Idasseri ,2
കാറ്റിൽ ചുഴലിയായ്ച്ചെന്നു  പൂതം ,Kummi,Idasseri ,3
കുറ്റികണക്കങ്ങു നിന്നാളമ്മ ( തനി,Kummi,Idasseri ,4
കുറ്റികണക്കങ്ങു നിന്നാളമ്മ ),Kummi,Idasseri ,5
കാലിൽ ചിലമ്പിട്ടു കണ്ണെഴുതി ,,M. Govindan,1
കാണാൻ വരുന്നൊരെ കണ്ടുകൊള്ളൂ ,,M. Govindan,2
കാക്കിരി പോക്കിരി കണ്ണൻ ചിരട്ട ,,M. Govindan,3
കുപ്പായ കീശയിൽ കാശുവീണു (പുതു ,,M. Govindan,4
കുപ്പായ കീശയിൽ കാശുവീണു ),,M. Govindan,5
പാലട പ്രഥമനും നാലുകൂട്ടം ,Kummi,Traditional ,1
വായിലലിയുന്ന പായസവും ,Kummi,Traditional ,2
പപ്പടമുപ്പേരി പഴനുറുക്കും ,Kummi,Traditional ,3
വിക്കി വിലക്കി വിളമ്പുമല്ലോ ,Kummi,Traditional ,4
കൊച്ചിക്കാരത്തി കൊച്ചുപെണ്ണേ-നിന-,Kummi,Traditional ,1
ക്കെങ്ങിനെ കിട്ടിയീ കണ്ണിളക്കം ,Kummi,Traditional ,2
മാനത് വിത്തു വിതച്ചവൻ ,Kummi,Traditional ,3
മാനിച്ചു തന്നതീ കണ്ണിളക്കം  ,Kummi,Traditional ,4
ആടും മുടിയതിൽ ചീറുന്ന സർപ്പവും ,Kummi,Traditional ,1
നീറുമണിയുന്ന തമ്പുരാനേ ,Kummi,Traditional ,2
കൂറോടു നമിച്ചിന്നിത ഏറുന്നൊരു മോദത്തോടു ,Kummi,Traditional ,3
പാരാതെ വന്നു നമിച്ചീടേണം - ഇന്നു ,Kummi,Traditional ,4
പാരാതെ വന്നു നമിച്ചീടേണം,Kummi,Traditional ,5
കളിയല്ല പൊളിയല്ല കുഞ്ഞാത്തോലേ,,,1
വെള്ളാരം കല്ലിനു വേരിറങ്ങി,,,2
ഇല്ലാത്തോരുണ്ണി പിറന്നെന്നു കേട്ടിട്ടു,,,3
കൊല്ലത്തു നിന്നവരെല്ലാം വന്നു ,,,4
വീര വിരാട കുമാര വിഭോ ,Iratta Kummi,Irayimman Thampi ,1
ചാരുതര ഗുണ സാഗരഭോ ,Iratta Kummi,Irayimman Thampi ,2
മാരലാവണ്യ ! നാരിമനോ,Iratta Kummi,Irayimman Thampi ,3
ഹാരി താരുണ്യ ജയ ജയ,Iratta Kummi,Irayimman Thampi ,4
ഭൂരി കാരുണ്യ വന്നീടുക ,Iratta Kummi,Irayimman Thampi ,5
ചാരത്തിഹ പാരിൽത്തവ നേരൊത്ത വരാരുത്തര,Iratta Kummi,Irayimman Thampi ,6
സാരസ്യസാര മറിവതിനും- നല്ല ,Iratta Kummi,Irayimman Thampi ,7
മാരസ്യാ ലീലകൾ ചെയ്വതിനും ,Iratta Kummi,Irayimman Thampi ,8
ചൊൽ പൊങ്ങിന കല്പദ്രുമ,Kummi-Iratti Segment,Traditional ,1
മല്പം തൃണകല്പ കില   ,Kummi-Iratti Segment,Traditional ,2
തല്പരിതോഷം വളർത്തീടുവാനിന്നു,Kummi-Iratti Segment,Traditional ,3
ശില്പമായ് കുമ്മി അടിച്ചിടേണം -(നമ്മൾ ,Kummi-Iratti Segment,Traditional ,4
ശില്പമായ് കുമ്മി അടിച്ചിടേണം ),Kummi-Iratti Segment,Traditional ,5
ഏഷാ കിമു ദോഷാകുര,Kummi-Iratti Segment,Traditional ,1
ഭൂഷേശ്വര യോഷാമണി ,Kummi-Iratti Segment,Traditional ,2
ഭാഷാ ഭവതിയോ രമയോ രാഞ്ജി,Kummi-Iratti Segment,Traditional ,3
വേഷാഞ്ചിതമായി വിളങ്ങീടുന്നു ,Kummi-Iratti Segment,Traditional ,4
രംഗത്തിൽ മൃദംഗധ്വനി ,Kummi-Iratti Segment,Traditional ,1
സംഗീത വിധങ്ങൾക്കനു,Kummi-Iratti Segment,Traditional ,2
കൂലത്തിൽ കുമ്മിയടിച്ചിടേണം ,Kummi-Iratti Segment,Traditional ,3
മേളത്തിൽ കുമ്മിയടിച്ചിടേണം ,Kummi-Iratti Segment,Traditional ,4
ചേർത്തും കൈകോർത്തും രുചി ,Kummi-Iratti Segment,Traditional ,1
തീർത്തും ജയമോർത്തും ,Kummi-Iratti Segment,Traditional ,2
കളിയാടിക്കുമ്മിയടിച്ചിടേണം,Kummi-Iratti Segment,Traditional ,3
കളിയാടിക്കുമ്മിയടിച്ചിടേണം,Kummi-Iratti Segment,Traditional ,4
