കവിതകൾ/ പാട്ടുകൾ,വൃത്തം,Poet,Type
കുട്ടനാടൻ പുഞ്ചയിലെ കൊച്ചു പെണ്ണെ കുയിലാളെ,,,കവിത
കുരുക്കുത്തി മുല്ലയ്ക്കു രണ്ടാണു ജന്മം,,,കവിത
അതൊരിക്കൽ ചിരിക്കാൻ മടിക്കും ദലങ്ങൾ,,,
കേര നിരകളാടും ഹരിത ചാരു തീരം,,,കവിത
കേരം തിങ്ങും കേരള നാട്ടിൽ,,,
കെ ആർ ഗൗരി ഭരിക്കട്ടെ,,,
കൊച്ചി കണ്ടവന് അച്ചി വേണ്ട,,,പഴഞ്ചൊല്ല്
കോകില ജാലങ്ങൾ കോലക്കുഴൽ കേട്ടു,,,കവിത
മൂകങ്ങളായങ്ങു നിന്നു പോയി,,,
കോവിലിൻ ചാരത്തെ നാലുകെട്ടിൽ,,,കവിത
പൂവു പോലുള്ളൊരു പെണ്ണുണ്ട്,,,
ചക്കിന് വച്ചത് കൊക്കിന് കൊണ്ടു,,,പഴഞ്ചൊല്ല്
ചോര വീണ മണ്ണിൽനിന്നുയർന്നു വന്ന പൂമരം,,,
ജനഗണമന അധി നായക ജയഹേ ഭാരത ഭാഗ്യ വിധാതാ,,,
ജയ് ജവാൻ ജയ് കിസാൻ,,,
ജാതിഭേദം മതദ്വേഷം ഏതുമില്ലാതെ സർവരും,,,
സോദരത്വേന വാഴുന്ന മാതൃകാസ്ഥാനമാണിത്,,,
ടൈം ആൻഡ് ടൈഡ് വെയ്റ്റ്സ് ഫോർ നൺ,,,
ട്വിങ്കിൾ ട്വിങ്കിൾ ലിറ്റിൽ സ്റ്റാർ,,,
ഹൌ ഐ വണ്ടർ വാട്ട് യു ആർ,,,
തകധിമി തകജണു തകധിമി തകജണു,,,
തിത്തിത്താര തിത്തിത്തെയ്,,,
തിത്തെയ് തക തെയ് തെയ് തോം,,,
തുമ്പീ വാ തുമ്പക്കുടത്തിൻ,,,
തുഞ്ചത്തായ് ഊഞ്ഞാലിടാം,,,
ദൈവമേ കൈതൊഴാം കേൾക്കുമാറാകണം,,,കവിത
പാവമാമെന്നെ നീ കാക്കുമാറാകണം,,,
നാരായണം ഭജേ നാരായണം നാരായണം ഭജേ നാരായണം,,,കവിത
നിറന്ന പീലികൾ നിരക്കവേ,,,കവിത
നെറുകയിൽക്കൂട്ടി തിറമൊടു കെട്ടി,,,
നീർക്കോലി കടിച്ചാലും അത്താഴം മുടങ്ങും,,,
നേരറിയാൻ നേരത്തെ അറിയാൻ,,,
നോക്കടാ നമ്മുടെ മാർഗ്ഗേ കിടക്കുന്ന,,,
മർക്കടാ നീയങ്ങു മാറിക്കിട ശഠാ,,,
പച്ച കദളീ കുലകൾക്കിടയ്ക്കിടെ,,,
പന്ത്രണ്ടു മക്കളെ പെറ്റൊരമ്മേ,,,
നിൻറെ മക്കളിൽ ഞാനാണു ഭ്രാന്തൻ,,,
പയ്യെത്തിന്നാൽ  പനയും തിന്നാം,,,
പാണ്ടൻ നായുടെ പല്ലിനു ശൗര്യം,,,പഴഞ്ചൊല്ല്
പണ്ടേ പോലെ ഫലിക്കുന്നില്ല,,,
പാലം കടക്കുവോളം നാരായണ,,,പഴഞ്ചൊല്ല്
പാലം കടന്നാലോ കൂരായണ,,,
പുലരുവാനേഴര രാവേയുള്ളു,,,പഴഞ്ചൊല്ല്
പൂങ്കോഴി കൂവിക്കഴിഞ്ഞേയുള്ളു,,,
പുല്ല് താനേ വളരും,,,
നെല്ല് കൃഷി  ചെയ്യണം,,,
പെട്ടി പെട്ടി ശിങ്കാരപ്പെട്ടി,,,
പെട്ടി തുറന്നപ്പോൾ എബിസി പൊട്ടി,,,
പൊട്ടി വിരിയുന്നു വീണ്ടും പൂനിലാവും മാമ്പൂക്കളും,,,കവിത
കെട്ടിപ്പിടിച്ചുമ്മ വെയ്ക്കും ആതിരാരാത്രി,,,
പൊലിമയൊടെന്നും പൊങ്ങുക,,,കവിത
പുത്തൻ തലമുറയേന്തും പന്തങ്ങൾ,,,
ഭജഗോവിന്ദം ഭജഗോവിന്ദം ഭജഗോവിന്ദം മൂഢമതേ,,,കവിത
മങ്ങിയ കാഴ്ചകൾ കണ്ടു മടുത്തു,,,കവിത
കണ്ണടകൾ വേണം കണ്ണടകൾ വേണം,,,
മഞ്ഞുകാലം വരുന്തോറും,,,കവിത
മാവു തോറും പൂവുകാണാം,,,
മലയപ്പുലയനാ മാടത്തിൻമുറ്റത്ത്,,,
മഴ വന്ന നാളൊരു വാഴ നട്ടു,,,കവിത
മാവേലി നാടുവാണീടുംകാലം,,,കവിത
മാനുഷരെല്ലാരും ഒന്നുപോലെ,,,
മിൽമ കേരളംകണി കണ്ടുണരുന്ന നന്മ,,,
മുല്ലപ്പൂമ്പൊടിയേറ്റു കിടക്കും,,,പഴഞ്ചൊല്ല്
കല്ലിനുമുണ്ടാമൊരു സൗരഭ്യം,,,
രാമരാമ രാമരാമ രാമരാമ പാഹിമാം,,,Traditional
രാമപാദം ചേരണേ മുകുന്ദരാമ പാഹിമാം,,,
വൺ ടൂ ത്രീ ഫോർ ഫൈവ് സിക്സ്,,,
സെവൻ എയ്റ്റ് നയൻ ടെൻ,,,
വന്നലിയുമാരയാലിലത്താലിയിൽ,,,
പകരുമിക്കാറ്റിന്റെ ഭൂപാളകീര്‍ത്തനം,,,
വാ കുരുവി വരു കുരുവി,,,
വാഴക്കൈമേലിരി കുരുവി,,,
വെറുമൊരു മോഷ്ടാവായോരെന്നെ,,,
നിങ്ങൾ കള്ളനെന്നു വിളിച്ചില്ലേ,,,
വെളിച്ചം ദുഃഖമാണുണ്ണീ തമസല്ലോ സുഖപ്രദം,,,
സകല ശുക കുല വിമല തിലകിത കളേബരേ,,,
സാരസ്യ പീയൂഷ സാരസർവ്വസ്വമേ,,,
സമയമാം രഥത്തിൽ ഞാൻ സ്വർഗ്ഗയാത്ര ചെയ്യുന്നു,,,
സമ്പത്ത് കാലത്ത് തൈ പത്ത് വച്ചാൽ,,,
ആപത്ത് കാലത്ത് കാ പത്ത് തിന്നാം,,,
സ്റ്റാർട്ടപ്പ് ഇന്ത്യ സ്റ്റാൻഡപ്പ് ഇന്ത്യ,,,
സ്വാമി ശരണം അയ്യപ്പ ശരണം,,,Traditional
സ്വാമിയേ അയ്യപ്പാ അയ്യപ്പാ സ്വാമിയേ,,,Traditional
ഹരിവരാസനം വിശ്വമോഹനം,,,Traditional
ഹരിദധീശ്വരം ആരാധ്യപാദുകം,,,
ഹാപ്പി ബർത് ഡേ ടൂ യൂ,,,Traditional
എന്തതിശയമെ ദൈവത്തിൻ സ്നേഹം എത്ര മനോഹരമേ,കോവളം,,Traditional
ചിന്തയാം മണിമന്ദിരത്തിൽ വിളങ്ങുമീശനെ വാഴ്ത്തുവിൻ,മല്ലിക,,Traditional
എല്ലാരും ചൊല്ലണ് എല്ലാരും ചൊല്ലണ് കല്ലാണ് നെഞ്ചിലെന്ന്,,,
വാട്ടർ വാട്ടർ എവരി വെയർ,,,
ബട്ട് നോ ഡ്രോപ്പ് ടു ഡ്രിങ്ക്,,,
എ ഫ്രണ്ട് ഇൻ നീഡ് ഈസ് എ ഫ്രണ്ട് ഇൻ ഡീഡ്,,,
റോ റോ റോ യുവർ ബോട്ട് ജന്റലി ഡൌൺ ദ സ്ട്രീം,,,
എബിസീഡി ഈഎഫ് ജീ,,,
എച്ച് ഐ ജെ ക്കെ എൽ എം എൻ ഓ പ്പീ,,,
പാടം കൊണ്ട്  വീട് പുലരും,,,പഴഞ്ചൊല്ല്
വാട്ട് ആൻ ഐഡിയ സർജി,,,പരസ്യം
പൂ വസന്തം വീശി  പൂമണവും പൂശീ,,പാലാ നാരായണൻ നായർ,കവിത
ഭൂവിനുർവ്വേകിടുന്ന നാഥനെ നമിക്കാം,,പാലാ നാരായണൻ നായർ,
  വെണ്ണയെക്കട്ടു കൂട്ടുകാർക്കേകു,,പാലാ നാരായണൻ നായർ,കവിത
മുണ്ണിയെക്കണ്ടു കണ്മണി,,പാലാ നാരായണൻ നായർ,
കണ്മണീ യെന്നെക്കാത്തുകൊള്ളണേ,,പാലാ നാരായണൻ നായർ,കവിത
കണ്ണനേ  കടൽ വർണ്ണനേ,,പാലാ നാരായണൻ നായർ,
പൂവനത്തിൽ പോയിടാം  പൂവിറുത്തു ചേർത്തിടാം,,വി. ഗീവറുഗീസ്,കവിത
നല്ല നല്ല പൂക്കളിൽ  നല്ല ചന്തമുണ്ടതിൽ,,വി. ഗീവറുഗീസ്,കവിത
നല്ല ഗന്ധമുള്ളതാം  മുല്ലയുണ്ടു   പോയിടാം,,വി. ഗീവറുഗീസ്,
കണ്ടിടാം രസിച്ചിടാം മണത്തിടാം നമുക്കിനി,,വി. ഗീവറുഗീസ്,കവിത
പൂവനത്തിൽ  പോയിടാം  പൂവിറുത്തു  ചേർത്തിടാം,,വി. ഗീവറുഗീസ്,
ആലോലം  ആലോലമമ്മേ,,സി.സി. ദത്ത്,താരാട്ട് 
നോക്കൂ ലീലാവനത്തിലിന്നമ്മേ,,സി.സി. ദത്ത്,താരാട്ട് 
തരളം തരളം  വിലസുന്നൂ   താരം  വിരിയും നയനങ്ങൾ,,പാലാ നാരായണൻ നായർ,കവിത
തടിച്ചുകൂടിയ ജനങ്ങളെ ക്കണ്ടു,,സി.സി. ദത്ത്,കവിത
ചിരിച്ചുകൊണ്ടവൻ പാടി,,സി.സി. ദത്ത്,
അത്തം വന്നൊരു ചെടിനട്ടു,,പാലാ നാരായണൻ നായർ,കവിത
ചിത്തിര ചുറ്റും പൂ വിട്ടു,,പാലാ നാരായണൻ നായർ,
പട്ടിണി  രണ്ടു കിടക്കുന്നേരം,,കുഞ്ചൻനമ്പിയാർ,കവിത
പട്ടികളേക്കാൾ പരവശഭാവം,,കുഞ്ചൻനമ്പിയാർ,
കിട്ടും പണമെങ്കിലിപ്പോൾ മനുഷ്യർക്കു,,കുഞ്ചൻനമ്പിയാർ,കവിത
ദുഷ്ടത  കാട്ടുവാനൊട്ടും മടിയില്ല,,കുഞ്ചൻനമ്പിയാർ,കവിത
സിദ്ധാർത്ഥനെന്നുലകിൽ  വിശ്രൂതനാമധേയം,ശ്ലഥതരംഗിണി,,കവിത
സിദ്ധിച്ച ലോകഗുരുവായൊരു  രാജസൂനു,ശ്ലഥതരംഗിണി,,കവിത
ഘോരമാംകാട്ടുതീ  വന്നുപിടിപ്പെട്ടു,,നളചരിതം,കവിത
ഭൂരിവൃക്ഷങ്ങളും ക്രൂരസർപ്പങ്ങളും,,,കവിത
കമലജനുമറിയരുതു  പുകഴുവതിനോർക്കിലൊ,,ഭാരതം,കവിത
കൗരവപാണ്ഡവസൈന്യകോലാഹലം,,ഭാരതം,കവിത
നാടുപാടെ നശിക്കുമ്പോൾ ചൂടുതട്ടും മനക്കാമ്പിൽ,,ത്രിപുര ദഹനം,കവിത
ഓടിവന്നപ്രദേശത്തു പാടുപാർക്കും ഞങ്ങളെല്ലാം,,ത്രിപുര ദഹനം,കവിത
ഇനിയും മരിക്കാത്ത ഭൂമിനിന്നാസന്ന,,ഒ .എൻ .വി,കവിത
മൃതിയിൽ നിനക്കാത്‌മശാന്തി,,,
പേരറിയാത്തൊരു പെൺകിടാവേ,,,കവിത
നിൻറെ നേരറിയുന്നു ഞാൻ പാടുന്നു,,ഒ .എൻ .വി,കവിത
അന്നു ഞാൻ സ്വാതന്ത്ര്യത്തെയാദ്യമായ് സ്വപ്നം കണ്ടു,കേക,ഒ .എൻ .വി,കവിത
ഇന്നിനിയോർമിക്കട്ടെ എനിക്കന്നിളം പ്രായം,കേക,ഒ .എൻ .വി,കവിത
ഒരിക്കൽ കൂടി ബീഥോവൻ താങ്കളീത്തളികയ്ക്കുമേൽ,,ഒ .എൻ .വി,കവിത
ഉയിർത്തെഴുന്നേല്ക്ക യെന്റെയിഷ്ടസിംഫണിയാവുക,,,
കുഞ്ഞേട്ത്തിയെത്തന്നെയല്ലോ,,ഒ .എൻ .വി,കവിത
ഉണ്ണിക്കെന്നെന്നുമേറെയിഷ്ടം,,,കവിത
ഞങ്ങളുടെ  കണ്ണനെയുമപഹരിച്ചു,,ഒ .എൻ .വി,കവിത
നിങ്ങൾ ഞങ്ങളുടെ  സർവസ്വമപഹരിച്ചൂ,,,കവിത
കാറ്റിനെക്കാണാൻ  കൊതിച്ചൊരു,,ഒ .എൻ .വി,കവിത
കുട്ടിയന്നാറ്റിറമ്പിൽ കാറ്റുകൊണ്ടിരുന്നൂ,,ഒ .എൻ .വി,കവിത
മണ്ണു കുഴിച്ചു കുഴിച്ചു ചെന്നാൽ,,ഒ .എൻ .വി,കവിത
എണ്ണ കിനിയുന്ന നാടുണ്ടത്രേ,,ഒ .എൻ .വി,കവിത
വീടില്ലാതലഞ്ഞു പോൽ പണ്ടൊരു ജൂതൻ,,ഒ .എൻ .വി,കവിത
സുഖം തേടിയങ്ങനെയോരോനാട്ടിലായ് കാലം പോകെ,,ഒ .എൻ .വി,കവിത
ആരോ ചവിട്ടിച്ചതച്ചൊരു മുന്തിരി,,ഒ .എൻ .വി,കവിത
ആരെന്റെ ഭൂപടത്തിന്മേൽ  പതിക്കുന്നു,,ഒ .എൻ .വി,കവിത
കുപ്പിവിളക്കിലെ വർണ്ണ മെഴുതിരി,,ഒ .എൻ .വി,കവിത
കുട്ടിയടർത്തിയെടുത്തു,,,
ഒരു തൈ നടുമ്പോൾ ഒരു തണൽ നടുന്നൂ,,ഒ .എൻ .വി,കവിത
പകലുറക്കത്തിനൊരു മലർവിരി നടുന്നൂ.,,ഒ .എൻ .വി,കവിത
തിബ്‌ലിസി നിന്നിലെ നീരുറവയ്ക്കുമീ,,ഒ .എൻ .വി,കവിത
നിൻ പേരിനുമിളം വെയ്(ലി)ന്റെ ഹൃദ്യത,,ഒ .എൻ .വി,കവിത
ചോരഞരമ്പുകൾ പാകിയമാതിരി,,ഒ .എൻ .വി,കവിത
ശോണമനോഹര മുന്തിരി വള്ളികൾ.,,ഒ .എൻ .വി,കവിത
ഇണകൾ കതിർ തേടിപ്പാടുന്നതൊരുപോലെ,,ഒ .എൻ .വി,കവിത
ഇലകൾ വെയിലിന്നായ് ദാഹിപ്പത്തൊരുപോലെ,,ഒ .എൻ .വി,കവിത
ഓണവില്ലു കൊട്ടി നമ്മളെത്രവട്ടം പാടീ,,ഒ .എൻ .വി,കവിത
ഓർമകളിൽ വാഴുമൊരു മന്നവനെപ്പറ്റി,,ഒ .എൻ .വി,കവിത
ആവണിപ്പാടം കുളിച്ചുതോർത്തീ,,ഒ .എൻ .വി,കവിത
മുടിയാകെ വിടർത്തിയുലർത്തി നിന്നൂ,,ഒ .എൻ .വി,കവിത
പഴയ ദേവാലയം അരികിലാമ്പൽ കുളം,കേക,ഒ .എൻ .വി,കവിത
വഴിയിൽ പൂജാദ്രവ്യ വില്പനയ്ക്കോരോ കൂട്ടർ,കേക,ഒ .എൻ .വി,കവിത
എന്തുകൊണ്ടെന്നോ ഞാനീ പൂക്കളെ,കേക,ഒ .എൻ .വി,കവിത
സ്നേഹിക്കുന്നതെണ്ടുകൊണ്ടെന്നോ?,കേക,ഒ .എൻ .വി,കവിത
നമ്മെ സ്നേഹിച്ചോർ നാം സ്നേഹിച്ചോർ,കേക,ഒ .എൻ .വി,കവിത
ശര ശയ്യയിൽ മരക്കുരിശിൽ തോക്കിൻ മുന്നിൽ,,ഒ .എൻ .വി,കവിത
മരിച്ചു വീണോർ മണ്ണിലേക്കു പിൻമടങ്ങിയോർ,,ഒ .എൻ .വി,കവിത
വേർപിരിയുവാൻ മാത്രമൊന്നിച്ചു കൂടി,,ഒ .എൻ .വി,കവിത
നാം വേദനകൾ പങ്കുവയ്ക്കുന്നു,,ഒ .എൻ .വി,കവിത
രാത്രിമഴ ചുമ്മാതെ കേണും ചിരിച്ചും,,സുഗതകുമാരി,കവിത
വിതുമ്പിയും നിർത്താതെ പിറുപിറുത്തും നീണ്ട,,സുഗതകുമാരി,കവിത
തുംഗ ഹിമാചല ശൃംഗ കിരീടിനി,,സുഗതകുമാരി,കവിത
അംബ ഭവതൃപദാനം പാടാൻ,,സുഗതകുമാരി,കവിത
വെയിലിൽ മിന്നും കൊച്ചു വെള്ളപ്പൂവുകൾ,,സുഗതകുമാരി,കവിത
രാവിൻ മഴയിൽ നനഞ്ഞാകെത്തെളിഞ്ഞ പുൽനാമ്പുകൾ,,സുഗതകുമാരി,കവിത
മരിച്ച ധർമ്മത്തിന്റെ ശവ സംസ്കാരം കൂടി,കേക,സുഗതകുമാരി,കവിത
നടത്താം കെങ്കേമമായ്  നമുക്കിസ്സുദിനത്തിൽ,കേക,സുഗതകുമാരി,കവിത
കൊച്ചു താരേ ചിരിക്കുന്ന പൂവേ,,സുഗതകുമാരി,കവിത
പിച്ച വയ്ക്കുന്ന കുഞ്ഞിളം കാറ്റേ,,സുഗതകുമാരി,കവിത
മുകളിലെച്ചുവന്നു  മഞ്ഞളിച്ച വാനവും,,സുഗതകുമാരി,കവിത
അടിയിലെ വരണ്ടുടഞ്ഞ ദാഹഭൂമിയും,,സുഗതകുമാരി,കവിത
രണ്ടു ശലഭങ്ങൾ പാറിയെത്തുന്നതു,,സുഗതകുമാരി,കവിത
കണ്ടു ഞാനിന്നു പുലരിത്തെളിമയിൽ,,സുഗതകുമാരി,കവിത
കേൾക്കൂ ചുവപ്പാർന്ന കുപ്പിവളകൾ ഞാൻ,,സുഗതകുമാരി,കവിത
നോക്കി നിന്നിട്ടുണ്ട് ദാഹിച്ച കൺകളാൽ,,സുഗതകുമാരി,കവിത
നിശബ്ദയാം പുണ്യ രാത്രി,,സുഗതകുമാരി,കവിത
നിന്നെ വിശ്വം നമിക്കയാണിന്നും,,സുഗതകുമാരി,കവിത
അർഹിക്കുന്നതു കിട്ടീ ഞങ്ങളടങ്ങിയിരിക്കുന്നൂ,,സുഗതകുമാരി,കവിത
സ്വാതന്ത്ര്യത്തിൻ മദ്യക്കോപ്പ കമഴ്ത്തിയിരിക്കുന്നൂ,,സുഗതകുമാരി,കവിത
മലമുകളിൽ പാടുപെട്ടു കയറുവാനായ്‌ മാത്രം,,സുഗതകുമാരി,കവിത
ചുമടുപേറിക്കാലിടറി വാടി നീങ്ങിടുമ്പോൾ,,,കവിത
കാർമുകിൽ മാലമറഞ്ഞു വാനം,,ഇടപ്പള്ളി ആർ രാഘവൻ പിള്ള,കവിത
ശ്യാമളകോമളമാകമാനം,,,
ഓരോരോ രാവും കുളിർമ്മയേന്തും,,ഇടപ്പള്ളി ആർ രാഘവൻ പിള്ള,കവിത
അത്തിമരത്തിൽ പൊത്ത് പൊത്തിൽ പത്തേ നത്ത്,ദശ തരംഗിണി,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
വടവാതൂരൊരു കടയുണ്ടേ,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
കടയിൽ നിറയെ വടയുണ്ടേ,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
വടകൾ തിന്നാൻ കുടവയറുള്ളൊരു,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
തടിയൻ ഓടി വരുന്നുണ്ടേ,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
മൊട്ടത്തലയൻ കുട്ടപ്പൻ കുട്ട നിറച്ചും മുട്ടയുമായ്,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
നട്ടുച്ചക്കൊരു പാട്ടും പാടി മട്ടാഞ്ചേരിക്കാണല്ലോ,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
മീശ വിറപ്പിച്ചൊരു കോണിൽ കണ്ടൻ പൂച്ചയിരിക്കുമ്പോൾ,,മടവൂർ രാധാകൃഷ്ണൻ,കവിത
