കവിതകൾ/ പാട്ടുകൾ,വൃത്തം,Poet
അമ്പലപ്പുഴയിലൊരു കുത്ത് വിളക്ക്,നതോന്നത,Vanchippatt
കരുമാടിക്കുട്ടനിന്നു പനിനീർക്കാവടിയാട്ടം,നതോന്നത,Vanchippatt
കാവിലമ്മക്കിന്നു രാത്രി ഗരുഢൻ തൂക്കം,നതോന്നത,Vanchippatt
ഉണ്ണി നിന്റെ തിരുമുഖം തിരുമേനി ഭംഗികണ്ടാൽ,നതോന്നത,Arnost Pathiri
കണ്ണിനാന്ദവും ഭാഗ്യസുഖമേ പുത്രാ,നതോന്നത,Arnost Pathiri
ആദമെന്ന പിതാവിന്റെ തലയിൽ വൻമരം തന്നിൽ,നതോന്നത,Arnost Pathiri
ആദിനാഥാ കുരിശിൽ നീ തൂങ്ങിയോ പുത്രാ,നതോന്നത,Arnost Pathiri
ആണിയിന്മേൽ തൂങ്ങി നിന്റെ ഞരമ്പെല്ലാം വലിയുന്ന,നതോന്നത,Arnost Pathiri
പ്രാണവേദന ആസകലം സഹിച്ചോ പുത്രാ,നതോന്നത,Arnost Pathiri
സൂര്യനും പോയ്മറഞ്ഞയ്യോ ഇരുട്ടായി ഉച്ചനേരം,നതോന്നത,Arnost Pathiri
വീര്യവാനെ നീ മരിച്ച ഭീതിയോ പുത്രാ,നതോന്നത,Arnost Pathiri
വീറോടെയാക്കളിവഞ്ചി തുഴഞ്ഞ് തുഴഞ്ഞ് കേറും,നതോന്നത,സത്യശീലൻ  കാർത്തികപ്പിള്ളി
ആരോമലിൻ  കുഞ്ഞുപെങ്ങൾ  ആർച്ചയെപ്പോലെ,നതോന്നത,സത്യശീലൻ  കാർത്തികപ്പിള്ളി
ചെറുമനും പരമനും സുലൈമാനും ചാക്കോച്ചനും,നതോന്നത,സത്യശീലൻ  കാർത്തികപ്പിള്ളി
ചുണ്ടൻ  വള്ളം തുഴയുന്ന തുഴച്ചിൽ  കണ്ടാൽ,നതോന്നത,സത്യശീലൻ  കാർത്തികപ്പിള്ളി
കുറിച്ചിക്കൽ  പള്ളിയിൽ മെഴുക്തിരി വെക്കണം,നതോന്നത,സത്യശീലൻ  കാർത്തികപ്പിള്ളി
കുലദൈവങ്ങളെ ഓർത്ത്  തൊഴുകവേണം,നതോന്നത,സത്യശീലൻ  കാർത്തികപ്പിള്ളി
ദൈവത്തിന്റെ സ്വന്തം നാടായ് പുകൾ പെറ്റ കേരളത്തിൻ,നതോന്നത,Swapna Saji
മക്കളേറെ വിരാജിപ്പൂ ലോകമെമ്പാടും,നതോന്നത,Swapna Saji
ഈ ലോകത്തിലേതു കോണിൽ കഴിഞ്ഞാലും നാടിൻ സ്വത്വം,നതോന്നത,Swapna Saji
മറക്കാതെ കാത്തിടാനായി ശ്രമിച്ചിടേണം,നതോന്നത,Swapna Saji
ജാതിമതഭേദമന്യേ പ്രവാസിയാം മലയാളി,നതോന്നത,Swapna Saji
ഏകത്വത്തിൽ മന്ത്രധ്വനി മുഴക്കിടേണം,നതോന്നത,Swapna Saji
നാടിൻ ഭാഷ മലയാളം മാതൃഭാഷ മലയാളം,നതോന്നത,Swapna Saji
മണ്ണുതിന്നു മകനെന്നു കേട്ടിട്ടമ്മ കോപിച്ചപ്പോൾ,നതോന്നത,Kuchela Vritham
ഉണ്ണിക്കൃഷ്ണൻ വാ പിളർന്നിട്ടുലകീരേഴും,നതോന്നത,Kuchela Vritham
ചാലേ വലത്തോട്ടൊഴിഞ്ഞ ചകോരാദി പക്ഷികടെ,നതോന്നത,Kuchela Vritham
കോലാഹലം കേട്ടുകൊണ്ടു വിനർഗമിച്ചു.,നതോന്നത,Kuchela Vritham
ഏഴുരണ്ടുലകുവാഴിയായ തമ്പുരാനെത്രയും,നതോന്നത,Kuchela Vritham
താഴെത്തന്റെ വയസ്യനെ ദൂരത്തു കണ്ടു,നതോന്നത,Kuchela Vritham
വിശേഷങ്ങളിനിയും പറഞ്ഞുകൊള്ളാം ബന്ധംവിനാ,നതോന്നത,Kuchela Vritham
വിശക്കുന്നു നമുക്കതു സഹിച്ചുകൂടാ,നതോന്നത,Kuchela Vritham
കേശവൻ ഗോവിന്ദൻ മധുസൂദനൻ കൈടഭാന്തകൻ,നതോന്നത,Kuchela Vritham
ക്ലേശപാശവിനാശനൻ കേശീമഥനൻ,നതോന്നത,Kuchela Vritham
രാമകൃഷ്ണ! ഗോവിന്ദ! ഗോപാല! ബലഭദ്രരാമ!,നതോന്നത,Kuchela Vritham
രാമാനുജ! രമാപതേ! പരശുരാമ!,നതോന്നത,Kuchela Vritham
ബന്ധുര തിരുവനന്തപുരത്തെയും ഭക്ത ജന,നതോന്നത,Kuchela Vritham
ബന്ധുവായ പത്മനാഭനേയും തൊഴുന്നേൻ,നതോന്നത,Kuchela Vritham
പാണിയോടുപാണി ചേർന്നാൽ പ്പോരാ ഹൃത്തുഹൃത്തിനോടു,നതോന്നത,
ചേണിയന്നുചേരുകിൽത്താൻ ദമ്പതീഭാവം,നതോന്നത,
ഉയരട്ടെ ഭാരതത്തിൻ പുതുവെന്നികൊടിക്കൂറ,നതോന്നത,
വിയത്തോളം ഭാസുരമായ് വിശ്വാഭിരാമം,നതോന്നത,
വിശപ്പിനു വിഭവങ്ങൾ വെറുപ്പോളമശിച്ചാലും   ,നതോന്നത,
വിശിഷ്ടഭോജ്യങ്ങൾ കൺകിൽ കൊതിയാമാർക്കും ,നതോന്നത,
ചിന്നിയ പൂങ്കുലകളാം പട്ടുതൊങ്ങൽ ചൂഴുമൊരു,നതോന്നത,Kumaranasan
പൊന്നശോകം വിടർത്തിയ കുടതൻ കീഴിൽ,നതോന്നത,Kumaranasan
‘സമയമായില്ല’പോലും ‘സമയമായില്ല’പോലും,നതോന്നത,Kumaranasan
ക്ഷമയെന്റെ ഹൃദയത്തിലൊഴിഞ്ഞു തോഴി.,നതോന്നത,Kumaranasan
പാലപൂത്തു പരിമളം ചുമന്നു ശുദ്ധമാം പുലർ-,നതോന്നത,Kumaranasan
കാലവായു കുളിർത്തെങ്ങും ചരിക്കയായി.,നതോന്നത,Kumaranasan
ഉടഞ്ഞ ശംഖം‌പോലെയുമുരിച്ചു മുറിച്ച വാഴ-,നതോന്നത,Kumaranasan
ത്തടപോലെയും തിളങ്ങുമസ്ഥിഖണ്ഡങ്ങൾ,നതോന്നത,Kumaranasan
ചിഹ്നസംഖ്യകൾ കൂട്ടുമ്പോൾ വ്യത്യസ്ത ചിഹ്നങ്ങളായാൽ,നതോന്നത,സുധാകരൻ
വ്യത്യാസം കണ്ടു വലുതിൻ ചിഹ്നമിട്ടീടൂ,നതോന്നത,സുധാകരൻ
പൈതഗോറസിന്റെ മട്ട ത്രികോണ സിന്ധാന്തമല്ലോ,നതോന്നത,സുധാകരൻ
പാദലംബ വർഗ്ഗ തുക കർണ്ണവർഗ്ഗമാം,നതോന്നത,സുധാകരൻ
വൃത്തത്തിൻ പരിധിയല്ലോ ടൂപൈയാറ് വിസ്തീർണ്ണമോ,നതോന്നത,സുധാകരൻ
പൈയാർ സ്‌ക്വയേഡുമായിടും ആറെന്നാലാരം ,നതോന്നത,സുധാകരൻ
അരിപ്പാട്ടെ കുറുപ്പച്ചൻ തുണിത്തുമ്പേപ്പണം കെട്ടി ,നതോന്നത,പി. നാരായണക്കുറുപ്പ്
അസ്ത്രം കഞ്ഞിയുമൊത്തു പകർന്നിട്ടടുത്തു നിന്നാളമ്മ,നതോന്നത,പി. നാരായണക്കുറുപ്പ്
അകത്തു കേറാതെ ഞങ്ങൾ പടിഞ്ഞാറേ നടയെത്തി,നതോന്നത,പി. നാരായണക്കുറുപ്പ്
അകമേ തോന്നിയ പാട്ടു നാവിൽ ത്തുള്ളിപ്പോയ്,നതോന്നത,പി. നാരായണക്കുറുപ്പ്
പുലയനാർ മണിയമ്മ പൂമുല്ലക്കാവിലമ്മ,നതോന്നത,പി. ഭാസ്കരൻ
കലമാന്‍റെ മിഴിയുള്ള കളിത്തത്തമ്മ,നതോന്നത,പി. ഭാസ്കരൻ
പുത്തുരുക്കൻ നെയ്യൊഴിച്ചു  വൃത്തമൊത്ത അപ്പമിപ്പോൾ,നതോന്നത,വാതിർത്തുറപ്പാട്ട്
പത്തുനൂറായിരം ഞാനോ കൊണ്ടന്നിട്ടുണ്ട്,നതോന്നത,വാതിർത്തുറപ്പാട്ട്
ചെത്തിയും ചേമന്തികളും പൂത്തിലഞ്ഞിക്കുസുമവും,നതോന്നത,വാതിർത്തുറപ്പാട്ട്
പത്തുനൂറു പറയോളം കൊണ്ടു വന്നല്ലോ,നതോന്നത,വാതിർത്തുറപ്പാട്ട്
അംബുധിയിൽ തിരമാല വരുമ്പോലെൻ നാവുതന്മേൽ,നതോന്നത,വാതിർത്തുറപ്പാട്ട്
അളവില്ലാതോളം പാട്ടുമുളവാകേണം,നതോന്നത,വാതിർത്തുറപ്പാട്ട്
കൊച്ചുപൂച്ച കുഞ്ഞിനൊരു കൊച്ചമളി പറ്റി,നതോന്നത,സി. ഡി
കാച്ചിവച്ച ചൂടു പാലിൽ ഓടിച്ചെന്നു നക്കി,നതോന്നത,സി. ഡി
കുടമുല്ലക്കാടുകളിൽ തെളിതാര നിരകൂടും,നതോന്നത,പി. കുഞ്ഞിരാമൻ  നായർ
കുടജാദ്രിവനരാജ കുമാരിക ഞാൻ,നതോന്നത,പി. കുഞ്ഞിരാമൻ  നായർ
പിളർക്കുന്ന പ്രപഞ്ചത്തിൻ മേലാതിപ്പനുള്ളിൽ നിന്നും,നതോന്നത,സുഗതകുമാരി
കുതിച്ചിറങ്ങുന്നു ലക്ഷം മുല്ലമാലകൾ,നതോന്നത,സുഗതകുമാരി
ജാതിയും മതങ്ങളും മറന്നിന്നു നമുക്കൊരു ,നതോന്നത,Vellayani Arjunan
ജാതിയായി മനുഷ്യരായി കഴിഞ്ഞു കൂടാം,നതോന്നത,Vellayani Arjunan
പൂവനത്തിൽ പോയിടാം  പൂവിറുത്തു ചേർത്തിടാം,നതോന്നത,വി. ഗീവറുഗീസ്
നല്ല നല്ല പൂക്കളിൽ  നല്ല ചന്തമുണ്ടതിൽ  ,നതോന്നത,വി. ഗീവറുഗീസ്
നല്ല ഗന്ധമുള്ളതാം  മുല്ലയുണ്ടു   പോയിടാം,നതോന്നത,വി. ഗീവറുഗീസ്
കണ്ടിടാം രസിച്ചിടാം മണത്തിടാം നമുക്കിനി  ,നതോന്നത,വി. ഗീവറുഗീസ്
പ്രസവലീവെടുത്തുംകൊണ്ടകലെപ്പോയ് ഹേമന്തം ,നതോന്നത,അയ്യപ്പപണിക്കർ
കസവിട്ടകിനാവിന്റെ തള്ളയായല്ലോ.,നതോന്നത,അയ്യപ്പപണിക്കർ
അല്ലിയാമ്പൽ കടവിലന്നരയ്ക്കു വെള്ളം,നതോന്നത,സിനിമാ ഗാനം 
അന്നു നമ്മളൊന്നായ്‌ തുഴഞ്ഞില്ലേ കൊതുമ്പു വള്ളം,നതോന്നത,സിനിമാ ഗാനം 
അന്നത്തിനും പഞ്ഞമില്ല സ്വർണ്ണത്തിനും പഞ്ഞമില്ല ,നതോന്നത,സിനിമാ ഗാനം 
മന്നിതിൽ കരുണക്കാണു പഞ്ഞം സഹോദരരേ,നതോന്നത,സിനിമാ ഗാനം 
കബനീ നടിയിലൂടൊഴുകി പ്പോയൊരു ജഡം,നതോന്നത,നാലാങ്കൽ
കസവു കീറിപ്പോയ മന്ത്രകോടിയെപ്പോലെ,നതോന്നത,നാലാങ്കൽ
പൊന്നരിവാളമ്പിളിയിൽ കണ്ണെറിയുന്നോളേ,നതോന്നത,നാടക ഗാനം
ആ മരത്തിൻ പൂന്തണലിൽ വാടി നിൽക്കുന്നോളേ,നതോന്നത,നാടക ഗാനം
കൃഷ്ണ കൃഷ്ണ എന്നല്ലാതെ തൃഷ്ണയെന്യേയെന്മനസ്സിൽ,നതോന്നത,കുഞ്ചൻ നമ്പ്യാർ
വൃഷ്ണിവംശ ശിഖാമണേ! ചിന്തയില്ല മേ!,നതോന്നത,കുഞ്ചൻ നമ്പ്യാർ
ചന്ദ്രക്കാരൻമാങ്ങയുണ്ടേ മുരിങ്ങക്കാകോലുംചേർത്തു,നതോന്നത,എം. ഗീതാദേവി
ചെമ്മീനിട്ടുകറിവച്ചാലൂണു കെങ്കേമം.,നതോന്നത,എം. ഗീതാദേവി
ശ്രാവണത്തിലുതൃട്ടാതിവളളംകളിപ്പൂരം കാണാൻ,നതോന്നത,എം. ഗീതാദേവി
പമ്പയാറ്റിൻ തീരത്തെത്താം കൈകൊട്ടിപ്പാടാം,നതോന്നത,എം. ഗീതാദേവി
താളമേളവാദ്യത്തോടെയാർപ്പുവിളി മുഴങ്ങുമ്പോൾ,നതോന്നത,എം. ഗീതാദേവി
പള്ളിയോടഘോഷയാത്ര കണ്ടുരസിക്കാം,നതോന്നത,എം. ഗീതാദേവി
ജീവിതമാംസാഗരത്തിൽ തുഴയില്ലാതുഴറുമ്പോൾ,നതോന്നത,എം. ഗീതാദേവി
ജീവന്മുക്തിയരുളേണമൂനംകൂടാതേ,നതോന്നത,എം. ഗീതാദേവി
ഇടത്തല്ല വലത്തല്ല നടുക്കല്ലെൻ സരസ്വതി,നതോന്നത,വി ടി കുമാരൻ
വെളുത്ത താമരപ്പൂവിലുറക്കമല്ല,നതോന്നത,വി ടി കുമാരൻ
കുന്നിമണിച്ചെപ്പു തുറന്നെണ്ണി നോക്കും നേരം,നതോന്നത,O.N.V
പിന്നിൽവന്നുകണ്ണു പൊത്തും തോഴനെങ്ങു പോയി,നതോന്നത,O.N.V
അറുന്നൂറു പുലിക്കൂട്ടം ആറുനീന്തിക്കടന്നപ്പോൾ  ,നതോന്നത,Dr.M.S.Sreekumar
അതിലൊരു പുലിയുടെ തല കണ്ടില്ല!                      ,നതോന്നത,Dr.M.S.Sreekumar
ചിരിച്ചും കുമ്പ കുലുക്കി കരത്തിനാൽ മുദ്ര കാട്ടി –,നതോന്നത,Dr.M.S.Sreekumar
പുലിക്കൂട്ടത്തിൻ വരവു  കാണു മാളോരെ!               ,നതോന്നത,Dr.M.S.Sreekumar
 വരയൻ പുലിയും പിന്നെ കരിവീട്ടി കണക്കുള്ള –,നതോന്നത,Dr.M.S.Sreekumar
കരിമ്പുലി പുള്ളിപ്പുലി കാണുമാളോരേ ,നതോന്നത,Dr.M.S.Sreekumar
പൊരിവെയിൽ പെരുമഴ വകവയ്ക്കാ തിടം വലം – ,നതോന്നത,Dr.M.S.Sreekumar
ചുവടുകൾ വച്ചിതാടും പുലിക്കൂട്ടങ്ങൾ,നതോന്നത,Dr.M.S.Sreekumar
അകത്തും പുറത്തു മൊന്നായ്  നുരയുന്ന ലഹരി പോൽ -,നതോന്നത,Dr.M.S.Sreekumar
പെരും ചോടുവച്ചിതാടും പുലിക്കൂട്ടങ്ങൾ,നതോന്നത,Dr.M.S.Sreekumar
നാരായണ നാരായണ  ജയ ജയ ജനാർദ്ദന,നതോന്നത,Neelabham blogspot 
നാരായണ ജയ ജയ ലോകപാലക,നതോന്നത,Neelabham blogspot 
ചതുർഭുജ പദ്മനാഭ മധുരിപു പീതാംബരാ,നതോന്നത,Neelabham blogspot 
ശതകോടി നമസ്കാരം പാഹി പാഹിമാം,നതോന്നത,Neelabham blogspot 
തണുത്ത പൂന്തണൽ വീശി  പടർന്നു ചൂഴ്ന്നു നിന്നൊരാ,നതോന്നത,Lakshmi Devi
തരു ഘോര മിടിപെട്ടി പിളർന്നു വീഴ്‌കെ,നതോന്നത,Lakshmi Devi
കൃഷ്ണവന ചോലകളിൽ കണ്ണുനീരു കുതിരുന്നു,നതോന്നത,Lakshmi Devi
കൃഷ്ണ ദാസി ഗോപനാരി വിട ചൊല്ലവേ,നതോന്നത,Lakshmi Devi
ചെത്തി മന്ദാരം തുളസി പിച്ചക മാലകൾ ചാർത്തി ,നതോന്നത,Film song
ഗുരുവായൂരപ്പാ നിന്നെ കണി കാണേണം,നതോന്നത,Film song
കൈകൾ രണ്ടും കഴുകേണം ദിവസേന പലവട്ടം,നതോന്നത,School wiki
നാട്ടിൽ നിന്നും കോവിഡിനെ തുരത്തീടേണം,നതോന്നത,School wiki
മാസ്ക് നമ്മൾ ധരിക്കേണം അകലമെന്നും പാലിക്കേണം,നതോന്നത,School wiki
തുമ്മുമ്പോഴും ചീറ്റുമ്പോഴും ജാഗ്രത വേണം,നതോന്നത,School wiki
മദമത്തവീരരായി മണ്ണിൽ നാശം വിതയ്ക്കയായ്,നതോന്നത,ജോൺസൺ മുല്ലശ്ശേരി
മലിനമായ് ജലംവായുമണ്ണുമെത്രയും!,നതോന്നത,ജോൺസൺ മുല്ലശ്ശേരി
മാനവരേയിനിവരും തലമുറ നമുക്കൊന്നും,നതോന്നത,ജോൺസൺ മുല്ലശ്ശേരി
മാപ്പുതരില്ലിതിൻ വണ്ണം മുന്നോട്ടുപോയാൽ!,നതോന്നത,ജോൺസൺ മുല്ലശ്ശേരി
മടിക്കാതെ മറക്കാതെ മനസ്സുവച്ചൊന്നിച്ചു നാം,നതോന്നത,ജോൺസൺ മുല്ലശ്ശേരി
മനഞ്ഞെടുത്തുടൻ ജലം സംരക്ഷിക്കേണം.,നതോന്നത,ജോൺസൺ മുല്ലശ്ശേരി
പറക്കുന്നു പൂമ്പാറ്റകൾ പരമാനന്ദമായെങ്ങും,നതോന്നത,ആശാൻ
നിറയ്ക്കുന്നിളംകാറ്റു പൂമ്പരിമളങ്ങൾ,നതോന്നത,ആശാൻ
നാരായണഗുരുസ്വാമി വ്രതനിഷ്ഠരിൽ പുരാണ,നതോന്നത,ആശാൻ
നാരായണമുനിതാനോ? ഞാനറിഞ്ഞില്ല.,നതോന്നത,ആശാൻ
അടിമച്ചങ്ങലയെല്ലാമയഞ്ഞഴിഞ്ഞറ്റുവീണു,നതോന്നത,ഉള്ളൂർ 
തടങ്കൽക്കൽത്തുറുങ്കെങ്ങും താനേ തുറന്നു.,നതോന്നത,ഉള്ളൂർ 
നടക്കട്ടെ മുന്നോട്ടേയ്ക്കു സകലസൽഗുണങ്ങൾക്കും,നതോന്നത,ഉള്ളൂർ 
നടനവേദിയായ്‌മിന്നും നമ്മുടെ രാജ്യം.,നതോന്നത,ഉള്ളൂർ 
ഇടത്തുംവലത്തുമായി മാറി മാറി കുത്തിയിട്ടും,നതോന്നത,സജീവ് പട്ടത്ത്
ഇടതും വലതും മാത്രം മാറിയില്ലൊട്ടും.,നതോന്നത,സജീവ് പട്ടത്ത്
