കവിതകൾ/ പാട്ടുകൾ,വൃത്തം,Poet,Line
ഇഷ്ടനാം വിഭീഷണനു രാജ്യവും കൊടുക്കും,കുറത്തി,Kunjiramayanam,2
കല്ലതായ്ക്കിടന്നിതോരഹല്യതന്റെ ദേഹേ ,കുറത്തി,Kunjiramayanam,3
കാലുവച്ചു രാമനങ്ങു മോക്ഷവും കൊടുക്കും ,കുറത്തി,Kunjiramayanam,4
പ്രേമസുധയൂറി നിൽക്കും തൂമലരുപോലെ ,കുറത്തി,Changambuzha,1
മാമക സൗഭാഗ്യമേ നീ നിദ്ര കൊള്ളും നേരം ,കുറത്തി,Changambuzha,2
ചാടുവാനുറച്ച വിടുന്നാടയും മുറുക്കി ,കുറത്തി,Kaaliyamarddanam Kurathippattu,1
ചാടുവാമോടക്കുഴലും കൂടെയങ്ങെടുത്തു ,കുറത്തി,Kaaliyamarddanam Kurathippattu,2
വീരനായ വീരസേന നന്ദനനും വന്നു ,കുറത്തി,Nalacharitham Kurathippattu,1
നാരിമണിയായ നിന്നെ വേട്ടു കൊണ്ടുപോകും ,കുറത്തി,Nalacharitham Kurathippattu,2
വീരനാം നളന്റെ ഭാര്യ സുന്ദരി ദമയന്തി ,കുറത്തി,Nalacharitham Kurathippattu,3
കാന്തനെ കാണാതുഴഞ്ഞു കാട്ടിൽ നടക്കുമ്പോൾ ,കുറത്തി,Nalacharitham Kurathippattu,4
പുഞ്ചനെൽ മലർപൊടിയും പഞ്ചസാരപാലും,കുറത്തി,Uthara Ramayanam Kurathippattu,1
ചഞ്ചല വിലോചനേ തരുന്നതുണ്ടു ഞാനും ,കുറത്തി,Uthara Ramayanam Kurathippattu,2
വണ്ണമേറും വാഴപോലെ പൊണ്ണനായ ഭീമൻ ,കുറത്തി,Kiratham Kurathippattu,1
അണ്ണനും നിൻ തമ്പികൾ നീ എണ്ണമഞ്ചിവണ്ണം,കുറത്തി,Kiratham Kurathippattu,2
ധീരനായ പാണ്ടവനെയ്ത ശരമെല്ലാം ,കുറത്തി,Kiratham Kurathippattu,3
ഘോരമായ വിൽ മുനയാൽ തല്ലിയൊടിച്ചു ,കുറത്തി,Kiratham Kurathippattu,4
വാടി നൊന്തു മനമുരുകി വരുന്ന വഴിയാണേ,കുറത്തി,Kannyar kali,1
നൊന്തു നൊന്തുരുകി മനം ചിന്ത വലയുന്നെ,കുറത്തി,Kannyar kali,2
കോവിഡും പോയീല ലോക്ഡൗണും നീങ്ങീല,കുറത്തി,M. V. Mohanan,1
എന്തെന്റെ മാവേലി ഓണം വന്നൂ,കുറത്തി,M. V. Mohanan,2
അച്ഛൻ വരുന്നീല ഏട്ടനുമെത്തില്ല,കുറത്തി,M. V. Mohanan,3
എന്തെന്റെ മാവേലി ഓണം വന്നൂ,കുറത്തി,M. V. Mohanan,4
