കവിതകൾ/ പാട്ടുകൾ ,വൃത്തം ,Poet ,Line
അഹംഭാവമാരുംവെടിഞ്ഞീടുമത്രേ,കാകളി,M. Geethadevi,2
ദന്തഹർമ്മ്യത്തിലെനേതാക്കളേചൊല്ലൂ,കാകളി,M. Geethadevi,1
എന്തിനീ രാഷ്ട്രീയനാടകങ്ങൾ?,കാകളി,M. Geethadevi,2
ഹർത്താലീനാടിന്റെശാപമായ്മാറുന്നു ,കാകളി,M. Geethadevi,1
ദുസ്സഹമായിടുന്നക്രമവും.,കാകളി,M. Geethadevi,2
അരുമസഖി നീയെന്റെമാനസം കണ്ടുവോ ,കാകളി,M. Geethadevi,1
ഒരുചെറിയമോഹമൊന്നുണ്ടെന്റെഹൃത്തടേ,കാകളി,M. Geethadevi,2
എത്ര ചിരിച്ചാലും ചിരി തീരുമോ നിന്റെ ,കാകളി,Sreekumaran Thambi,1
ചിത്തിര പ്പൂവിതൾ ചുണ്ടിൽ  ,കാകളി,Sreekumaran Thambi,2
ഉത്തരാസ്വയം വരം കഥകളി കാണുവാൻ ,കാകളി,Sreekumaran Thambi,1
ഉത്രാടരാത്രിയിൽ പോയിരുന്നു ,കാകളി,Sreekumaran Thambi,2
കാളീ ഭദ്രകാളീ കാത്തരുളൂ ദേവി ,കാകളി,Sreekumaran Thambi,1
മായേ മഹാമായേ മാരയമ്മൻ തായേ ,കാകളി,Sreekumaran Thambi,2
എന്മനോവീണതൻ തന്ത്രി മുറുക്കി ഞാൻ ,കാകളി,,1
സപ്തസ്വരങ്ങളാൽ ഗാനമുതിർക്കവേ,കാകളി,,2
ഹിന്ദോളരാഗത്തിനോളങ്ങളിൽ എന്‍റെ,കാകളി,,1
വീണയിൽ വന്ന മധുരസംഗീതമേ,കാകളി,,2
ശ്രീകോവിലിൻ നട മെല്ലേ തുറക്കവേ,കാകളി,,1
ക്ഷേത്രമെങ്ങും മണി നാദം മുഴങ്ങവേ,കാകളി,,2
സോപാനസംഗീതമോടെയിടയ്ക്കയിൽ ,കാകളി,,1
മദ്ധ്യമാദിക്കൊത്തു താളം മുഴങ്ങവേ,കാകളി,,2
അഞ്ജലി കൂപ്പി നില്ക്കും മനോമോഹിനി,കാകളി,,1
മറ്റൊരു രാധയായ് നില്ക്കുന്നു നീ സഖി.,കാകളി,,2
എങ്ങു നീയെങ്ങു നീ മർത്ത്യന്നു നേർവഴി,കാകളി,,1
യേകിടും ദിവ്യപ്രകാശമേയെങ്ങു നീ,കാകളി,,2
കെട്ടുപോയിട്ടില്ലയിന്നുമാ ജ്യോതിയെ-,കാകളി,,1
ന്നാശിപ്പുവെൻ  മനമെങ്ങൊളിക്കുന്നു നീ,കാകളി,,2
ഇന്നുമോർക്കുന്നുഞാൻ  ബാല്യകാലത്തിലെ-,കാകളി,,1
യേറ്റം രസകരമാ നിമിഷങ്ങളെ.,കാകളി,,2
പൂക്കളം തീര്‍ക്കുവാൻ  തുമ്പയിറുക്കുവാൻ,കാകളി,,1
പാടവരമ്പിലൂടന്നു നാം പോയതും.,കാകളി,,2
കുണ്ടനിടവഴി താണ്ടിയ നേരത്തു,കാകളി,,1
ചെമ്പരത്തിപ്പൂ ചിരിപ്പതു കണ്ടതും,കാകളി,,2
ഞാൻ തന്നെയാണിറുക്കേണ്ടതാ പൂക്കളി-,കാകളി,,1
തെന്നേ തലയിലിരുത്തണമിപ്പൊഴേ,കാകളി,,2
എന്നു നീ ചൊല്ലവേ നിന്നെയെടുത്തു ഞാൻ,കാകളി,,1
വച്ചു തലയില്‍ നീയിന്നതോർക്കുന്നുവോ?,കാകളി,,2
നമ്മളൊന്നായ് പല കാലം കഴിഞ്ഞതിൽ ,കാകളി,,1
ഞാനെന്തുചെയ്തുവഹിതമായ് ഭാരതീ.,കാകളി,,2
വാക്കൊന്നുപോലും പറയാതെയെന്തിനാ -,കാകളി,,1
യെന്നില്‍നിന്നുമൊരുനാൾ നീയൊഴിഞ്ഞുപോയ്,കാകളി,,2
ഛായയായെന്നുടെയൊപ്പം നടക്കിലും,കാകളി,,1
പൂജിച്ചു നിന്നെ ഞാനെന്നെന്നും ദേവിയായ്,കാകളി,,2
എൻജിഹ്വയായെന്‍റെ കൂടെ നടന്ന നീ,കാകളി,,1
മൂകനായെന്നെയും മാറ്റിയതെന്തിനോ ?,കാകളി,,2
അകലെയൊരു മലമുകളിലാർദ്രമന്ദസ്മിതം,കാകളി,,1
അടവി വിടരും പൂവനത്തിന്റെ ഛായയിൽ,കാകളി,,2
ഇതു നിലാവല്ല കുളിർ മഞ്ഞല്ല രാവല്ല ,കാകളി,,1
കളകളം കിളിയല്ല കാടല്ല കാറ്റല്ല,കാകളി,,2
ഒന്നായ നിന്നെയിഹ രണ്ടെന്നു കണ്ടളവി-,കാകളി,,1
ലുണ്ടായോരിണ്ടൽ ബദ മിണ്ടാവതല്ല മമ,കാകളി,,2
കഥയമമ കഥയമമ കഥകളതിസാദരം,കാകളി,,1
കാറ്റിന്റെ കാണാപ്പിയാനോ വിടർത്തുന്ന    ,കാകളി,,2
തോറ്റങ്ങൾ കേട്ടിന്നു തോറ്റു പോയ് പാട്ടുകൾ,കാകളി,,1
കേര നിരകളാടും ഹരിത ചാരു തീരം,കാകളി,,2
കുരുക്കുത്തി മുല്ലയ്ക്കു രണ്ടാണു ജന്മം ,കാകളി,,1
അതൊരിക്കൽ ചിരിക്കാൻ മടിക്കും ദലങ്ങൾ,കാകളി,,2
ദൈവമേ കൈതൊഴാം കേൾക്കുമാറാകണം ,കാകളി,,1
പാവമാമെന്നെ നീ കാക്കുമാറാകണം,കാകളി,,2
നോക്കടാ നമ്മുടെ മാർഗ്ഗേ കിടക്കുന്ന,കാകളി,,1
മർക്കടാ നീയങ്ങു മാറിക്കിട ശഠാ,കാകളി,,2
സകല ശുക കുല വിമല തിലകിത കളേബരേ    ,കാകളി,,1
സാരസ്യ പീയൂഷ സാരസർവ്വസ്വമേ,കാകളി,,2
പൂ വസന്തം വീശി - പൂമണവും പൂശീ  ,കാകളി,Pala Narayanan Nair,1
ഭൂവിനുർവ്വേകിടുന്ന നാഥനെ നമിക്കാം,കാകളി,Pala Narayanan Nair,2
കമലജനുമറിയരുതു  പുകഴുവതിനോർക്കിലൊ   ,കാകളി,,1
കൗരവപാണ്ഡവസൈന്യകോലാഹലം  ,കാകളി,,2
ഇനിയും മരിക്കാത്ത ഭൂമി-നിന്നാസന്ന-  ,കാകളി,O.N.V Kuruppu,1
മൃതിയിൽ നിനക്കാത്‌മശാന്തി  ,കാകളി,O.N.V Kuruppu,2
ഒരു തൈ നടുമ്പോൾ ഒരു തണൽ നടുന്നൂ  ,കാകളി,O.N.V Kuruppu,1
പകലുറക്കത്തിനൊരു മലർവിരി നടുന്നൂ.,കാകളി,O.N.V Kuruppu,2
എന്തിനീ ചിലങ്കകൾ എന്തിനീ കൈവളകൾ,കാകളി,O.N.V Kuruppu,1
എൻ പ്രിയനെന്നരികിൽ വരില്ലയെങ്കിൽ,കാകളി,O.N.V Kuruppu,2
തന്നന്നം താനന്നം താളത്തിലാടി,കാകളി,O.N.V Kuruppu,1
മന്ദാരക്കൊമ്പത്തൊരൂഞ്ഞാലിലാടി,കാകളി,O.N.V Kuruppu,2
ദേവദൂതർ പാടീ സ്നേഹദൂതർ പാടീ,കാകളി,O.N.V Kuruppu,1
ഈയൊലിവിൻ പൂക്കൾ ചൂടിയാടും നിലാവിൽ,കാകളി,O.N.V Kuruppu,2
അരികിൽ നീയുണ്ടായിരുന്നെങ്കിലെന്നു ഞാൻ,കാകളി,O.N.V Kuruppu,1
ഒരു മാത്ര വെറുതേ നിനച്ചുപോയി,കാകളി,O.N.V Kuruppu,2
മോഹിച്ച കണ്ണിന്നു പൊൽക്കണിപ്പൂക്കളും ,കാകളി,O.N.V Kuruppu,1
ദാഹിച്ച ചുണ്ടിനു നൽത്തേൻ കണികളും,കാകളി,O.N.V Kuruppu,2
സ്വയം മൃത്യുവെക്കൈവരിച്ചോരു കന്യ,കാകളി,O.N.V Kuruppu,1
നിശാഗന്ധി നീയെത്ര ധന്യ ,കാകളി,O.N.V Kuruppu,2
നെല്ലോലചായും വയൽ വരമ്പിൽ ,കാകളി,O.N.V Kuruppu,1
അന്നവും വസ്ത്രവും അപ്പവും വീഞ്ഞുമായ്,കാകളി,O.N.V Kuruppu,2
അച്ചിങ്ങയും കൊച്ചു പച്ചീർക്കിലും കൊണ്ടേ ,കാകളി,,1
ഓച്ചിറക്കാളയെ കെട്ടി ഞങ്ങൾ ,കാകളി,,2
രാത്രിമഴ ചുമ്മാതെ കേണും ചിരിച്ചും ,കാകളി,Sugathakumari,1
വിതുമ്പിയും നിർത്താതെ പിറുപിറുത്തും നീണ്ട,കാകളി,Sugathakumari,2
മുകളിലെച്ചുവന്നു  മഞ്ഞളിച്ച വാനവും ,കാകളി,Sugathakumari,1
അടിയിലെ വരണ്ടുടഞ്ഞ ദാഹഭൂമിയും,കാകളി,Sugathakumari,2
നീലിച്ചപൊട്ടുള്ള പാവാട ചുറ്റിയ,കാകളി,Sugathakumari,1
ചേലെഴും പൂമ്പാറ്റക്കുഞ്ഞേ,കാകളി,Sugathakumari,2
പടി പതിനെട്ടാണു കോവിലി ന്നാദ്യത്തെ ,കാകളി,Sugathakumari,1
പ്പടിയിലിരിപ്പൂ ഞാൻ ദേവദാസി ,കാകളി,Sugathakumari,2
ഇനിയും മുറിക്കത്തൊ-രൊറ്റയാൽ ച്ചോട്ടിലാ,കാകളി,Sugathakumari,1
പ്പഴയ പാന്ഥൻ വന്നിരിക്കുന്നു ശാന്തമായ്‌,കാകളി,Sugathakumari,2
തുമ്പിയുള്ള കൊമ്പൻ കുമ്പയുള്ള കൊമ്പൻ ,കാകളി,Madavoor  Radhakrishnan,1
അമ്പലത്തിലാറാട്ടിന്  മുമ്പിലാണ് കൊമ്പൻ,കാകളി,Madavoor  Radhakrishnan,2
കസവിട്ടകിനാവിന്റെ തള്ളയായല്ലോ.,കാകളി,K. Ayyappa Paniker,1
സന്ധ്യ പോയ് മെല്ലെയിരുട്ടായ് കുരുക്കുത്തി,കാകളി,K. Ayyappa Paniker,2
എനിക്കാവതില്ലേ പൂക്കാതിരിക്കാൻ,കാകളി,K. Ayyappa Paniker,1
എനിക്കാവതില്ലേ കണിക്കൊന്നയല്ലേ,കാകളി,K. Ayyappa Paniker,2
ഉണങ്ങിക്കരിഞ്ഞെന്നു തോന്നിച്ച കൊമ്പിൻ-,കാകളി,K. Ayyappa Paniker,1
മുനമ്പിൽത്തിളങ്ങുന്നു പൊന്നിൻ പതക്കങ്ങൾ,കാകളി,K. Ayyappa Paniker,2
കാടെവിടെ മക്കളേ? മേടെവിടെ മക്കളേ?,കാകളി,K. Ayyappa Paniker,1
കാട്ടു പുൽത്തകിടിയുടെ വേരെവിടെ മക്കളേ?,കാകളി,K. Ayyappa Paniker,2
വിഷവാതമൂതാത്ത വിഷവാണി കേൾക്കാത്ത ,കാകളി,K. Ayyappa Paniker,1
വിഷനീർ കുടിക്കാത്ത നാടെവിടെ മക്കളേ?,കാകളി,K. Ayyappa Paniker,2
തിന്നുവാൻ താളും തകരയുമിഷ്ടംപോലെ--,കാകളി,Thirunelloor Karunakaran,1
ന്നുമതിന്നൊരു പഞ്ഞമില്ല,കാകളി,Thirunelloor Karunakaran,2
നനഞ്ഞ ഭാണ്ഡം തോളിലേറ്റുന്നു വടി കുത്തി,കാകളി,Thirunelloor Karunakaran,1
നടകൊളളുന്നു നന്നേ തളർന്ന കാൽവയ്‌പോടെ,കാകളി,Thirunelloor Karunakaran,2
കൂടുമ്പോളിമ്പമായ് മാറും കുടുംബം  ,കാകളി,Priya Venugopal,1
ചേരുമ്പോൾ ശീതളമാകും ഹൃദന്തം,കാകളി,Priya Venugopal,2
ഒന്നിൽനിന്നൊന്നിലേയ്ക്കോടിയെത്തുന്നൊരാ,കാകളി,,1
ഓർമ്മകൾക്കൊട്ടുമേ പഞ്ഞമില്ല,കാകളി,,2
കുറ്റം പറഞ്ഞിട്ടു കാര്യമില്ലിന്നെടോ ,കാകളി,,1
ഒറ്റയ്ക്ക് പൊരുതുന്നതാണ് ഭദ്രം,കാകളി,,2
തെറ്റാതെ ശരികൾ നടപ്പാക്കുവാനിന്നൊ-,കാകളി,,1
രൊറ്റയാനെക്കടന്നാരുണ്ടഹോ,കാകളി,,2
കണ്ണട വച്ചാലും വയ്ക്കാതിരുന്നാലും ,കാകളി,,1
കണ്ടതിൽ കാര്യം തിരഞ്ഞിടണ്ടേ?,കാകളി,,2
സന്ധ്യക്കു സന്ദേഹമേതുമില്ലാതെയ -,കാകളി,,1
ഖണ്ഡമായ് ദീപം തെളിച്ചീടണം,കാകളി,,2
ആറുമലയാളിക്കു നൂറുമലയാളം,കാകളി,,1
അരമലയാളിക്കുമൊരു മലയാളം,കാകളി,,2
കണ്ണുനീർത്തുള്ളിയെസ്ത്രീയോടുപമിച്ച കാവ്യഭാവനേ...അഭിനന്ദനം.,കാകളി,,1
നിനക്കഭിനന്ദനം... അഭിനന്ദനം ... അഭിനന്ദനം.. അഭിനന്ദനം….,കാകളി,,2
അരികിൽ നീയുണ്ടായിരുന്നെങ്കിലെന്നു ഞാൻ,കാകളി,,1
ഒരു മാത്ര വെറുതേ നിനച്ചു പോയീ,കാകളി,,2
അന്നു നിന്റെ നുണക്കുഴി തെളിഞ്ഞിട്ടില്ല	,കാകളി,P. Bhaskaran,1
അന്നു നിന്റെ കവിളിത്ര ചുമന്നിട്ടില്ല,കാകളി,P. Bhaskaran,2
മാമ്പഴക്കൂട്ടത്തിൽ മൽഗോവയാണു നീ ,കാകളി,P. Bhaskaran,1
മാസങ്ങളിൽ നല്ല കന്നി മാസം,കാകളി,P. Bhaskaran,2
നാദബ്രഹ്മത്തിൻ സാഗരം നീന്തി വരും ,കാകളി,P. Bhaskaran,1
നാകസുന്ദരിമാരെ ,കാകളി,P. Bhaskaran,2
മഞ്ഞണിപ്പൂനിലാവ് പേരാറ്റിൻ കടവത്ത്,കാകളി,P. Bhaskaran,1
നാദബ്രഹ്മത്തിന്‍ സാഗരം നീന്തിവരും,കാകളി,P. Bhaskaran,2
നാകസുന്ദരിമാരേ,കാകളി,P. Bhaskaran,1
നാളികേരത്തിന്റെ നാട്ടിലെനിക്കൊരു,കാകളി,P. Bhaskaran,2
നാഴിയിടങ്ങഴി മണ്ണുണ്ട് ,കാകളി,P. Bhaskaran,1
അള്ളാവിൻ കാരുണ്യമില്ലെങ്കിൽ ഭൂമിയിൽ ,കാകളി,P. Bhaskaran,2
എല്ലാരും എല്ലാരും യത്തീമുകൾ ,കാകളി,P. Bhaskaran,1
ആദ്യത്തെ കണ്മണി ആണായിരിക്കണം 	,കാകളി,,2
ആരുമേ കണ്ടാൽ കൊതിക്കണം,കാകളി,,1
സന്താന കാരിണം സന്താപ ഹാരിണം  	,കാകളി,,2
ചിന്താ വിമോചനം സിന്ധുരാധാരിണം,കാകളി,,1
കല്യാണീ കളവാണീ ചൊല്ലമ്മിണി ചൊല്ല്,കാകളി,,2
കാറ്റേ കാറ്റേ നീ പൂക്കാമരത്തില് ,കാകളി,,1
പാട്ടും മൂളിവന്നോ?,കാകളി,,2
മീനായതും ഭവതി മാനായതും ജനനി,കാകളി,Narayana Guru,1
നീ നാഗവും നഗഖഗം,കാകളി,Narayana Guru,2
കിലദ്ദേവ ഗോത്രം  കനദ്ധേമ ഗാത്രം ,കാകളി,Narayana Guru,1
സദാനന്ദ മാത്രം മഹാഭക്തിമിത്രം ,കാകളി,Narayana Guru,2
സമസ്ത പ്രപഞ്ചം സൃജിച്ചും ഭരിച്ചും ,കാകളി,Narayana Guru,1
മുദാസംഹരിച്ചും രസിച്ചും രമിച്ചും ,കാകളി,Narayana Guru,2
വേലായുധോ മഹതി കോലാഹലാരവ സു -,കാകളി,Narayana Guru,1
ലീലാതനോതു കുശലം ,കാകളി,Narayana Guru,2
അന്നന്നവൻ മലയിലുള്ളതിൽ നല്ലതായി,കാകളി,Kundoor Narayana Menon,1
നിന്നീടുമാമുള മുറിച്ചു പൊളിച്ചു ചീന്തി,കാകളി,Kundoor Narayana Menon,2
സഹിക്കയോ ദാസ്യം മരിക്കയോ ഭേദം,കാകളി,Bodheshwaran,1
സഹിക്കയോ ഹാസ്യം മരിക്കയോ നല്ലൂ,കാകളി,Bodheshwaran,2
ആനയും ചേനയും പേനയും പേനുമാ-,കാകളി,Kunjunni,1
യന്യോന ബന്ധമുണ്ടെന്നു നൂനം,കാകളി,Kunjunni,2
രഥചക്രമുരുളവേ തളരുന്ന ഞങ്ങളുടെ,കാകളി,C.P. Aboobakkar,1
ഹൃദയം ചതഞ്ഞരയുമ്പോൾ,കാകളി,C.P. Aboobakkar,2
അറിയാതെ കൈകൾ നാം ഈ സാക്ഷയിൽ തന്നെ,കാകളി,Karivelloor Murali,1
ബലമായമർത്തുന്നുവല്ലോ,കാകളി,Karivelloor Murali,2
പാതിരാപ്പൂക്കളിലൂഞ്ഞാലിടാൻ വന്നൊ -,കാകളി,Alamcode Leelakrishnan,1
രാതിരക്കാറ്റിൻ കുളിർമണം കൂടിയും,കാകളി,Alamcode Leelakrishnan,2
പാളത്തിലോടാത്ത തീവണ്ടിയായ് നിന്നു,കാകളി,Manoj Kuroor,1
തീയും വെളിച്ചവും തുപ്പുന്നു കേശവൻ,കാകളി,Manoj Kuroor,2
കത്തുന്ന തീയില്ല തേനില്ല പാലില്ല,കാകളി,Prabha Varma,1
കൺമുമ്പിൽ നെയ്യില്ല മദ്യമില്ല,കാകളി,Prabha Varma,2
എന്റെ വിളക്കിന്റെ തിരി നിനക്കേകി ഞാ -,കാകളി,Vijayalakshmi,1
നന്ധകാരത്തെ സ്വയം വരിച്ചു,കാകളി,Vijayalakshmi,2
കല്യാണസൗഗന്ധികം മുണ്ടുപെട്ടിയിൽ-,കാകളി,Vijayalakshmi,1
ക്കണ്ണെത്തിടാതൊളിക്കുമ്പോൾ,കാകളി,Vijayalakshmi,2
ആരെയോർക്കേണ്ടു നിന്നെയല്ലാതെ ഞാൻ,കാകളി,Vijayalakshmi,1
ആകാശ നീലമോ നിൻറെ സിംഹാസനം,കാകളി,Vijayalakshmi,2
ആകാശപ്പൊയ്കയിൽ അമ്പിളിത്തോണിയിൽ,കാകളി,Appan Thachethu,1
ആയിരം താരകൾ വന്നിറങ്ങി,കാകളി,Appan Thachethu,2
കാത്തു സൂക്ഷിച്ചൊരു കസ്തൂരി മാമ്പഴം ,കാകളി,P. Bhaskaran,1
കാക്ക കൊത്തിപ്പോയി ,കാകളി,P. Bhaskaran,2
കനക സിംഹാസനത്തിൽ കയറിയിരിക്കുന്നവൻ ,കാകളി,P. Bhaskaran,1
ശുനകനോ വെറും ശുംഭനോ ,കാകളി,P. Bhaskaran,2
കാക്കക്കൊട്ടാരത്തിലാരും കാണാതെ ,കാകളി,Kavalam,1
കള്ളിക്കുയിലമ്മ മുട്ടയിട്ടു ,കാകളി,Kavalam,2
നെറികെട്ട വൈദ്യുതിപ്രസരം വിടർത്തുന്ന ,കാകളി,Kadammanitta,1
കപട വർണ്ണോജ്വലഹാസം,കാകളി,Kadammanitta,2
കാതരേ കരിമിഴിക്കോണിലീവെളിച്ചത്തിൻ,കാകളി,Kadammanitta,1
കീറുമായിരുട്ടത്ത് വന്നതിന്നാരെ നോക്കി ,കാകളി,Kadammanitta,2
കത്തുമിക്കടലിന്റെ കരിഞ്ഞ കയങ്ങളിൽ ,കാകളി,Kadammanitta,1
മുത്തു വാരുവാൻ വന്ന ഞാനല്ലോ വിടു വിഡ്ഢി ,കാകളി,Kadammanitta,2
കോലാഹലക്കഴലിണ ക്കനകച്ചിലമ്പി - ,കാകളി,Kumaranasan,1
ലാലോലമങ്ങു മയിലിൻ മുകളേറി മെല്ലെ ,കാകളി,Kumaranasan,2
പാവന ഭാവനാ നാടകമാടിയീ,കാകളി,P. Kunjiraman Nair,1
സ്ഥാവര ജംഗമ ജീവിതങ്ങൾ ,കാകളി,P. Kunjiraman Nair,2
പഠിപ്പിൻ കുഴപ്പം ശരിപ്പെട്ടു കിട്ടാ -,കാകളി,Evoor,1
നിരിപ്പും നടപ്പും വെടിപ്പാക്കിടേണം ,കാകളി,Evoor,2
കലയുടെ കളിവീടാം കേരളത്തിന്റെ മണ്ണിൽ ,കാകളി,Evoor,1
കഥകളി തിരിനീട്ടി തുള്ളലുള്ളം തെളിച്ചൂ,കാകളി,Evoor,2
ഇഴഞ്ഞും നടന്നും കളിക്കുന്ന കാലം ,കാകളി,Evoor,1
പറഞ്ഞും ചിരിച്ചും രസിക്കുന്ന കാലം ,കാകളി,Evoor,2
അലഞ്ഞും വലഞ്ഞും കറങ്ങുന്ന കാലം ,കാകളി,Evoor,1
വരും കുത്തിയങ്ങോട്ടിരിക്കുന്ന കാലം ,കാകളി,Evoor,2
ഒരുത്തന്റെ മാർഗ്ഗം ശരിപ്പെട്ടുകണ്ടാൽ ,കാകളി,Evoor,1
പെരുത്താളെടുത്താ വഴിക്കോട്ടു ചാടും ,കാകളി,Evoor,2
ചിലർക്കിന്നു കാവ്യം വെറും ശബ്ദജാലം ,കാകളി,Evoor,1
ചിലർക്കോ കടും കട്ടിയാം രൂപശില്പം ,കാകളി,Evoor,2
പാലഞ്ചും പുഞ്ചിരി തൂകി നിന്നങ്ങനെ,കാകളി,Cherusseri,1
നാലഞ്ചു നാളങ്ങു ചെന്നവാരെ,കാകളി,Cherusseri,2
തിത്തിത്തായെന്നുള്ള നൃത്തങ്ങളെങ്ങനെ ,കാകളി,Cherusseri,1
തൃക്കാൽ ചിലമ്പുകളൊച്ച പൂണ്ടങ്ങനെ ,കാകളി,Cherusseri,2
സംസാരമോക്ഷത്തിൻ കാരണമായതോ,കാകളി,Cherusseri,1
വൈരാഗ്യമെന്നല്ലോ ചൊല്ലിക്കേൾപ്പൂ,കാകളി,Cherusseri,2
ആയിരം വട്ടകപ്പാലുതരാമുണ്ണീ ,കാകളി,Panan paattu,1
അമ്പാടിക്കണ്ണാ നീ ഓടിവാടാ  ,കാകളി,Panan paattu,2
ഈടേറും ബേതല ഹേമിൽ പിറന്നോനേ,കാകളി,Traditional,1
ഈഴലൊഴിഞ്ഞു ഞാൻ കാണവേണം ,കാകളി,Traditional,2
പോവല്ലേ പോവല്ലേ പൊന്നോണമേ,കാകളി,Idappally,1
പൂവല്ലേ ഞാനിട്ടു പൂജിക്കുന്നു,കാകളി,Idappally,2
നാലുകാലുള്ളൊരു നങ്ങേലിപ്പെണ്ണിനെ,കാകളി,Traditional,1
കോലു നാരായണൻ കട്ടോണ്ടു പോയി ,കാകളി,Traditional,2
ഗ്രന്ഥം കരത്തിലുണ്ടായാൽ മതിയല്ല ,കാകളി,Kunchan Nambiar,1
ചന്തത്തിലർത്ഥം ഗ്രഹിച്ചേ ഫലം വരൂ ,കാകളി,Kunchan Nambiar,2
രണ്ടു കളത്രത്തെയുണ്ടാക്കി വയ്ക്കുന്ന ,കാകളി,Kunchan Nambiar,1
തണ്ടു തപ്പിക്കു സുഖമില്ലൊരിക്കലും ,കാകളി,Kunchan Nambiar,2
ചാട്ടത്തിൽ നിന്നു പിഴച്ചു പോയോ നിന്റെ ,കാകളി,Kunchan Nambiar,1
കൂട്ടത്തിൽ മറ്റാരുമില്ലാത്തതെന്തടാ,കാകളി,Kunchan Nambiar,2
അലക്കും തൊങ്കലും പൊടുപ്പും വെച്ചൊരു ,കാകളി,Nadodippattu,1
കൊതുവല്ലേ വന്നു കടിച്ചത് ,കാകളി,Nadodippattu,2
ഞാനല്ല പൈങ്കിളി താമരപ്പൈങ്കിളി,കാകളി,Nadodippattu,1
താണിരുന്നാടുന്ന പൊന്നോല ,കാകളി,Nadodippattu,2
ചന്തത്തിൽ മുറ്റം ചെത്തിപ്പറിച്ചീല ,കാകളി,Nadodippattu,1
എന്തെന്റെ മാവേലി ഓണം വന്നു ,കാകളി,Nadodippattu,2
അന്തപ്പനന്തിക്കു പന്തവും കത്തിച്ചു ,കാകളി,C.P,1
പന്തളം ചന്തയിലെത്തിയപ്പോൾ ,കാകളി,C.P,2
പടപ്പാട്ടു പാടാം പടച്ചട്ട ചാർത്താം,കാകളി,Vattapparambil,1
പടക്കോപ്പു കൈകളിലേന്താം,കാകളി,Vattapparambil,2
വമ്പനൊരു മാമല തൻ  കൊമ്പൊടിഞ്ഞു വീണു ,കാകളി,Indira Ashok,1
കല്ലുകളായ് ചിന്നി ചില്ലുകളായ് മിന്നി ,കാകളി,Indira Ashok,2
വാട്സാപ്പിൽ ഫേസ്ബുക്കിൽ ചാറ്റിന്റെ മഴയേറ്റ് ,കാകളി,Deepa Padmakumar,1
ചൂടു പിടിക്കുന്നു പുതു ബാല്യങ്ങൾ   ,കാകളി,Deepa Padmakumar,2
കയ്യെഴുത്താകെ മറന്നു പോകുന്നേരം ,കാകളി,Deepa Padmakumar,1
യന്ത്രം കുറിക്കട്ടെ ഹരിശ്രീയും ,കാകളി,Deepa Padmakumar,2
നമ്മൾ മാത്രമല്ല നമ്മൾ മൊഴിയുന്നമ്മ ,കാകളി,V.Madhusoodanan Nair,1
മണ്ണാണ് പെറ്റമണ്ണാണ് പേടിയ്‌ക്കേണ്ട ,കാകളി,V.Madhusoodanan Nair,2
മിന്നുന്ന മീനിൻ വികാരമായ്‌പ്പായുക,കാകളി,V.Madhusoodanan Nair,1
വാക്കിൽ വരാഹകിരണ മായ് ച്ചെല്ലുക ,കാകളി,V.Madhusoodanan Nair,2
കേരവൃക്ഷം തിങ്ങിനിൽക്കും കേരളമെൻ ദേശം ,കാകളി,Vellayani Arjun,1
